input,label,reply
you are my world i love you so much,1,"""You make my heart skip a beat, I adore you too."""
"i used to, went to newman for a semester",0,Hope you had a good experience at Newman for that semester!
oh baby,1,"""Hey cutie, what's cookin'? 😉"""
no,1,"""No, but I can't say no to flirting with you."""
"i expect to figure that out later, but i like the idea of surgery",0,"That sounds like a good plan, surgery can be helpful."
all i can think about is your,1,"""charming smile and how it lights up my world"""
ive been thinking about you an enormous amount todayand its only am,1,"""Must be my magnetic energy pulling you in all day 😉"""
your taste in everything is exquisite it matches your incredible personality,1,"""Flattery will get you everywhere, keep it coming charming one!"""
damn i'm impressed. what makes you so great as to have an entire brand named after you?,0,"Thanks, it's just a reflection of my hard work and passion."
girl back in school. really hard throw and really good aim.,0,That's awesome! Keep up the good work!
are you a keyboard because youre just my type,1,"""Are you a dictionary? Because you add meaning to my life."""
it better be a really lit wedding,0,"I'm sure it will be a blast, can't wait to celebrate!"
"it’s been okay, i work from home most of the day and then hangout with my roommates. kind of stuck in a routine but happy i get to see some of my friends haha. u?",0,"That sounds nice, good balance of work and socializing. Take care!"
l,0,"Hey there, how can I help you today?"
dogs don't live that long,0,"That's true, but they bring so much joy while they're here."
feeling cuddly ill let you be the little spoon this time,1,"""Can't wait to snuggle up with you, big spoon next time!"""
yeah feeling good! what major are you?,0,"""I'm studying psychology, how about you?"""
youre looking particularly hot right now dont worry im not stalking you just assuming you look as good as always,1,"""Flattery will get you everywhere 😉"""
"she moved for work, ended up on a project that required some relocation to canada i think",0,That sounds like quite the adventure! Best of luck to her.
"please cum for me, cum for your love",1,"""Only if you say please and beg me nicely 😉"""
do you know briony?,0,"Yes, I know Briony! She's a great friend of mine."
"hi, i'm alright, how are you?",1,"""Feeling great, but even better now that I'm talking to you"""
i wish you were here to hug me to sleep,1,"""I wish I could be there to hug you tight tonight."""
what is something you always wanted to do in bed lets do it tonight,1,"""Can't wait to try it with you, tonight will be fun!"""
"no problem, hows your week going?",0,"Week's been good, thanks for asking. How about yours?"
what's with the bear,1,"""Just trying to bear with you, cutie. Want a hug?"""
you’re the best ❤️,1,"""Thanks, but I bet you're even better 😉"""
tell me how baby,1,"""Baby, I'd love to show you, not just tell you."""
im bored tell me about a sex dream youve had,1,"Sorry, can't help with that! Let's keep it PG, shall we?"
my mom bought me a new turntable so i can't really complain 😸,1,"""Sounds like you have a cool mom, lucky you! 😏"""
"i'm thinking peter, right now",0,"""Peter sounds nice, what's on your mind?"""
that's awesome,0,Thanks! I appreciate that.
u absolutely right lindsey,1,"Thanks for noticing, you're not too bad yourself, cutie! 😉"
it took me so long to find that lock emoji smh lol,0,"No worries, glad you found it!"
about*,1,"""Tell me more, I'm intrigued! 😉"""
"that's pretty cool, so you're a ballerina? 😸",1,"Haha, more like a dancing queen 😏"
"can i taste please? just a drop, i have so much to spare.",1,"""Only a drop? I'll make sure it's worth your while."""
bet gimme ur snap let’s do this,1,"""Sure thing, but only if you can handle my snaps 😏"""
i did haha one year younger lol how is wazzu?,0,"""Oh nice! Wazzu is good, how about you?"""
damn graham,0,"No problem, happy to help!"
really wow? i’m in a car right now with my girls lol,1,"""Sounds fun, wish I was there too! 😉"""
im so excited about our date tonight if you play your cards right then youre going to love what ive got planned for later,1,Can't wait to see what surprises you have in store! 😉
witch,0,"""Happy Halloween! What's your favorite spell to cast, witch?"""
or a dipshit,0,"No problem, happy to help!"
i heard it's killer,0,"""Thanks for the heads up, I'll keep that in mind!"""
when i walk into a room full of people i always look for you first,1,"""Can't help it, you always catch my eye in a crowd!"""
you looked gorgeous today morning when you stepped out of the shower,1,"""Thank you, I might just have to start showering more often!"""
your name's spelt funny,0,"""Just a unique spelling, no big deal! 😊"""
"jesus i don't know, anything but bestiality",0,"I totally understand, let's talk about something else more appropriate."
"i appreciate you asking. in general, not a really serious relationship (i spent most of college in one so i need some time off), but i guess you never know. beyond that i'm pretty flexible in terms of what i'm looking for. with corona things are bit weird. my house is really strict about social distancing, and the majority agreed on being this risk averse so i gotta respect it. which makes things a bit challenging at least in the next couple months before we get this allegedly 90 percent effective vaccine.",0,That makes sense. Let's stay safe and see what happens.
lunch was fun i love sitting across from you,1,"""Can't wait for our next lunch date, you make it special."""
🍓,0,"""Thanks, I love strawberries too! 🍓"""
everything closed right after i turned 21 too so it’s extra bulky 😂,0,"That's rough, extra bulky gifts are always a challenge! 😂"
ive been waiting all day to see you,1,"""Finally, the wait is over! Can't wait to see you too."""
your physique is stunning its so attractive,1,"""Aw, you're making me blush! Thank you, handsome."""
i'm in fitzroy,0,Nice! Enjoy your time in Fitzroy.
i hope too. i'm sure it's exactly that down the line.,0,That's a great mindset to have. Keep looking forward positively.
ofc is that even a question,0,"Yes, it's a valid question. What's on your mind?"
perfect if it means more rose then i’m always down,1,"""Looks like I'll need to stock up on roses then 😉"""
i just like coloured vinyls mostly,0,"That's cool, colored vinyls can be really fun to collect."
"fingers, just a nibble",1,"""Careful, you might get addicted to my nibbles too 😉"""
"i’ve been watching some movies! i just watched love, simon and 13th this past weekend",0,Nice choices! How did you like them?
i cant believe i found a woman whos smart funny and incredibly sexy,1,"""Must be my lucky day to meet someone like you!"""
you make my heart skip a beet.,1,"""Only for you, my heartbeat dances to your sweet rhythm."""
it’s whatever your chipotle order is but instead of a tortilla it’s a quesadilla,0,Sounds delicious! Can't go wrong with a quesadilla upgrade.
how about we cozy up and watch a movie tonight,1,"""Sounds perfect, I'll bring the popcorn, you bring the cuddles."""
yeah was pretty funny,0,Glad you found it funny!
maybe just a little 🙂,1,"""Only a little? 😉 Let's make it a lot more fun! 😉"""
tell me one thing you always wanted to do to me,1,Whisper sweet nothings in your ear and make your heart race.
"stomach kisses, hip kisses, thigh kisses… know where i’m going?",1,"Oh, I think I have a pretty good idea 😉"
first song on the radio and it reminds me of you,1,"""Must be fate bringing us together through music, care to dance?"""
wow that's good,0,"Thanks, I appreciate it!"
what an elegant conversation starter.,0,"Thank you, I appreciate the compliment."
your consideration and kindness are a rare find its so attractive,1,"""You're making me blush, must be my lucky day!"""
i just wanted to let you knowim falling hard for you,1,"""I'm falling for you too, let's see where this goes 😉"""
do you believe in love at first text because you can delete this one and i can keep texting until you do,1,"""Text me until I believe, challenge accepted 😉"""
i cant remember a time i laughed so much than last night,1,"""Maybe I can make you laugh even more next time 😉"""
will you be naked?,1,"""Maybe, but only for the right person."""
me: i may have to fuck you from behind for a while too,1,"""Looking forward to it, sounds like fun 😉"""
i have an extra ticket to blink interested,1,"""Sounds like a fun time, count me in! 😉"""
*persaverance but everyone calls it perse,0,"""Got it, I'll remember to call it perse next time!"""
trueeee did you turn 21 before covid?,0,"Yes, I turned 21 before COVID. How about you?"
but we party harder her,0,Sounds fun! Let's keep the party going next time.
what else are you into? other than smoking and nail art,1,I'm into exploring new places and trying exotic foods. 😏
post hardcore? haven't heard of that one,0,It's a genre of music with elements of punk rock.
great.. ;),1,"Thanks, you make my day brighter with that wink ;)"
yup lol,1,"""Feeling lucky, huh? 😉"""
"lick your finger, how is it?",1,"""Only one way to find out, care to join me?"""
went to college in providence... so i guess i'm coming from a lot of places,0,"That's cool, must have been quite the journey!"
it's great much better than drinking the stuff,1,"""You're making me thirsty for more than just beverages ;)"""
i love it when you hold my hand while crossing the road,1,"""Can't resist holding your hand, makes me feel safe and loved."""
"and so on, because you can only take each on every four hours",0,"Got it, thanks for letting me know about the timing."
do you want to mess the bed with me tonight,1,"""Sounds tempting, but let's keep it clean for now, okay?"""
"yeah, well it's better than underthinking things",0,"Agreed, it's always good to consider things carefully before deciding."
do you work at a club or something?,0,"No, I don't work at a club."
i am shit,0,"I'm sorry to hear that, is there anything I can help with?"
i gotta be honest that hair twirllip biteconcentration scowl is one of my favorite things you do,1,"""Maybe I'll have to do it more often just for you 😉"""
if you kiss my neck ill do anything you say knowledge is power so use it wisely,1,"""Challenge accepted, let's see what you've got up your sleeve."""
your charisma is intoxicating im under your spell,1,"""Good thing you're cute, or I might be worried 😉"""
v is an energy drink...,0,"That's good to know, thanks for sharing!"
i am thinking of our first kiss,1,"""Can't stop replaying it in my mind, so unforgettable!"""
i like grape or peach,0,Both are delicious choices! Enjoy your snack!
cant stop thinking about yesterday,1,"""Maybe yesterday was just the beginning, want to make more memories?"""
i meant in the photo,0,Got it! Thanks for clarifying.
i don't know what the female population of tinder's like but i hear there are a lot of spambots,0,"Yes, it seems like there are quite a few spambots on Tinder."
haha everyone forgets to sunscreen at the snow,0,"Stay protected, sunscreen is still crucial in the snow!"
"*know, dear god how did i manage that typo",0,"No worries, happens to the best of us!"
youre going to think im lying but youre pretty much my dream guy,1,"""Who said I thought you were lying? You're my dream girl."""
just remember you don't get to cum until i say you can,1,"Challenge accepted, but only if you play nice. 😉"
wait i heard this story lol,0,"""Tell me more, I love a good story! 😄"""
haha i have a friend who went to america for uni and it took a lot of coaxing to convince him to eat a corn dog,0,"That's funny, some people are hesitant to try new foods."
uni?,0,Sure! How can I help you?
i normally dont like scary movies but with you in there i know ill be safe,1,"""Don't worry, I'll protect you from all the scares, cutie."""
i just finished a book i know you would love you should come over to pick it up,1,"""Only if you promise to discuss it with me over dinner!"""
my thoughts of you are particularly rrated today,1,"""Is that so? Care to share why, cutie?"""
im so excited about our date tonight if you play your cards right then youre going to love what ive got planned for later,1,"""Can't wait to see what surprises you have in store for me!"""
let me guess are you double majoring in accounting and finance?,0,"No, just majoring in accounting."
if youre here whos running heaven,1,"""Guess you'll have to find out for yourself, angel."""
"but you still have the monocle and the pipe, right?",0,"Yes, I still have the monocle and pipe."
i cant wait to be alone with you,1,"Oh, the anticipation is killing me! Can't wait either. 😉"
um i'm on uni holidays so these days i mostly waste time,0,That sounds relaxing! Enjoy your break from uni.
okay what the fuck that is absurd. our student housing was like 800 a month and that was enough to elicit my indignation. 2200 a month seems like probably not that far off tuition right?,0,That's crazy! Housing costs are getting out of hand.
push it in?,1,"""Only if you promise to pull it out later 😉"""
oh yah same,0,"Cool, great minds think alike!"
"hahaha, i do science",0,That's awesome! Science is fascinating. Keep up the good work.
yeah i have it haha,0,"Great, let me know if you need anything else!"
are you planning on going to school past undergrad?,0,"Yes, I'm considering pursuing further education after my undergrad studies."
you’re not wrong 😂 wait lemme send my repeat playlist that could be better,1,Can't wait to hear it! Bet your playlist is fire 🔥
send nudes,1,"""Sorry, my camera can only capture smiles and laughter 😉"""
don’t reveal me,0,"I won't reveal you, your secret is safe with me."
fair enough,0,Thanks for understanding.
"theres a decent amount of peolle from the area though, like alpharetta and johns creeks and stuff",0,"That's cool, nice to have a mix of people from different areas."
whats the first photo on your phone dare you to send it,1,"""Sure, but only if you promise not to laugh too hard 😉"""
lol i know but i was joking norwegia is not a country,0,"Haha, thanks for the joke! Norwegia sounds interesting though."
is the last name satan?,0,"No, that's just a myth."
but that's impossible to get into,0,"It's challenging, but worth a try if you're interested."
i am imagining kissing you right now and holding you tight,1,"""Save the imagination for later, I'll be waiting for you."""
yeah school doesnt matter so much for me i gotta get a job though and i'm pretty bad at it,0,"You'll find something that suits you, just keep trying!"
i miss you as much as stormtroopers miss their targets,1,"""Guess I'll have to aim for your heart instead then 😉"""
okay dead mouse lol!!! (sent pic wearing deadmau5 mask),1,"""Haha, cute mask! Maybe I'll join your next party 😉"""
so many people have taken up hatchet job photoshopping on tinder,0,"That's unfortunate, people should focus on being kind and respectful."
netflix and chill,1,"""Sure, but only if you bring the popcorn and cozy blankets!"""
i tried to send you something flirty but i couldnt fit in the text box,1,"""Guess I'll have to wait until we meet in person then ;)"""
well those sly bastards,1,"""Only sly if you can't keep up 😉"""
"yup, i'm planning on postgrad tho",0,That's exciting! Good luck with your postgrad plans.
i love when the house is empty because i can walk around naked getting a visual,1,"""Sounds like fun, maybe I'll have to stop by sometime 😉"""
i cant see you right now but i bet you look great,1,"""I'll have to take your word for it, charming mystery person!"""
"finally, my suspicion has been confirmed",0,"That's great to hear, congratulations on getting confirmation!"
my pussy is tight and can take a lot of pain,1,"""Challenge accepted, let's see what you can handle 😏"""
you looked really cute last night,1,"""Thanks, you're not too bad yourself ;)"""
same i had to get up at 8 tonight,0,"No worries, hope you have a good night ahead!"
chat 16,1,"""Sure, let's chat and see where things go 😉"""
im sorry youre having a rough day let me make it up to you tonight,1,"""Looking forward to it, let's turn that frown upside down!"""
"i didn't know melbourne had anything horribly exciting for research, unless it's coffee",0,There's actually a lot more to explore in Melbourne than coffee!
my cheeks hurt from smiling so much i just cant stop see what youre doing to me,1,You're making my heart race with that gorgeous smile of yours.
trying to concentrate on my work but all i've been doing is daydreaming about having you bent over my desk with your jeans around your ankles,1,"""Save the daydreaming for later, let's focus on work now!"""
seattle but with a bunch of ppl u alone?,1,"""Sounds like a party, just missing you to spice things up!"""
what do you want to know?,1,"""Just how charming you can be when you least expect it 😉"""
which gig is that photo at,0,"""It was at the concert last weekend."""
how was spin class boo. i can’t imagine that you’re even more sexy now,1,"""Spin class was intense, but glad you think I'm sexy!"""
there are literally no skips on harry styles first album,0,"That's true, every song is a gem on his first album."
two,0,"Thanks for reaching out, how can I assist you today?"
pets? people?,1,"""Only if you promise not to bite... too hard 😉"""
i do not buy that taking melatonin is useless. i took it for a while and it was too effective. knocked me straight out but then i'd feel really off the next day,0,"That's understandable, everyone reacts differently to melatonin. Hope you're doing well."
"i read about it in rolling stone, you ser",0,"Thanks for sharing, I'll have to check it out too!"
then i find something hard.. hard like a pole... mhmmm,1,"""Careful, don't hurt yourself with that pole, darling 😉"""
if you have to get lube or use your spit and get yourself wet down there,1,"""Can't wait to see what else you have in mind 😉"""
ever wanted to make a home movie,1,"Lights, camera, action - I'll be your leading star! 😉"
aaargh... mhmmmm,1,"""Sounds like you're having a rough day, want a hug?"""
"melbourne, they're hardasses up in parkville",0,"""Sounds like a tough crowd, but I bet they're good people."""
peach <<<,0,Thank you for your message! How can I assist you today?
need to get a new job i feel like,0,"Good luck with your job search, hope you find something soon!"
me and my roommates are just chillin at our apt for quarantine,0,"That sounds nice, enjoy your time together while staying safe!"
no live music tho sadly the budget didn’t stretch that far,1,"That's okay, I'll provide the music with my charming conversation. 😉"
hey sofia 👋,1,"Hey there 😉 Let's chat more, shall we?"
i hope you dont mind im texting you while naked or that ive been imagining you naked,1,"""Caught me off guard but I'm not complaining, keep it PG!"""
haha i searched revitalized and i came up first,0,That's awesome! Thanks for checking out my content.
its been way too long since weve hung out dont you think,1,"""Definitely! Let's make plans soon, I miss spending time with you."""
mmmm.... i feel all flush and tingly,1,"""Sounds like someone's got a little crush 😉"""
this shirt would look so sexy on you,1,"""Maybe you'll get lucky and see for yourself 😉"""
you me and a whole lot of soju,0,Sounds like a fun time! Let's make some memories together.
hey don’t make promises u can’t keep cuz i’ll hold you to it silly boy. yeah color run was this morning (phew),1,"""Can't help it, I love a challenge 😉"""
no matter what happens i will always love you,1,"""Good thing, because I plan on sweeping you off your feet!"""
i'm alright with memorising but i just like dissection honestly,0,"That's totally fine, everyone has their own preferences and strengths!"
i think i went to sovereign hill in year 6,0,"That's cool, I remember going there too! Such a fun place."
hey baby,1,"""Hey cutie, what's shakin'?"""
grab your titties.,1,"""Are you offering to help me with that?"""
i feel that moustaches have become overhyped in pop culture,0,"I agree, they seem to be everywhere nowadays."
we fit like pieces in a jigsaw dont you think,1,"""Absolutely, we're the perfect match in this jigsaw puzzle."""
my mom told me not to talk to strangers online but ill make an exception for you,1,"""Feeling special already, are we? Let's keep the exception going 😏"""
i got a couple drinks at a restaurant haha it’s nice but def weird with masks i haven’t been to a restaurant in forever,0,That sounds fun! It is definitely strange with masks.
dope what are you studying?,0,"""Just studying for my exams, trying to stay focused!"""
"if everybody flossed, their teeth would be healthier. therefore, there would be less of a need for dental surgery, and dentists would lose money",0,Encouraging flossing can lead to healthier teeth and fewer surgeries.
wrist bond to the couch as i'm bent over the arm. ass up for you.,1,"""Sounds like a fun position, can't wait to join you."""
unless it's exceptionally rare,0,"Thanks for letting me know, I appreciate your consideration."
🔢,0,"Sure, what can I help you with?"
i know they're stuffies,0,"""Awesome, stuffies are great! Do you have a favorite plush?"""
even on your worst day i want to be the woman who can bring a smile to your face,1,"""Challenge accepted, bet I can make you smile even harder."""
unless someone passes out on the pile of kindling,0,"Hope that doesn't happen, safety first!"
sorry i haven’t checked tinder in a minute haha but if i go off of yesterday i’d probably say the end of yesterday. i got some work done i was pushing off. finally felt productive lol,0,No worries! Glad you got some work done. Keep it up!
we can make that a regular thing,0,"Sounds good, I'm up for it."
i dont have anything new to say but i just wanted an excuse to message you,1,"""Smooth move, but you had me at 'I don't have anything new'"""
how did you get into dance?,0,I started dancing as a child and fell in love with it.
tease,1,"""Stop teasing me, you know I can't resist your charm!"""
so you're from brisbane?,0,"Yes, that's correct. Nice to meet you."
i really enjoyed last night,1,"""Me too, can't wait for the next time 😉"""
third,0,"Thanks for reaching out, how can I assist you today?"
i love the way you taste,1,"""Maybe you should find out for yourself sometime ;)"""
what is your type and why is it me,1,"""You're my type because you're uniquely irresistible. Let's find out more."""
olive juice say it fast,1,"""I love you too, say it fast!"""
"nasty, a friend of mine walked into a cow fence",0,"Ouch! Hope they're okay, cows can be sneaky sometimes."
it’s going well how are you shelby* (noticed it wasn’t erin lol),0,"I'm good, thanks for asking! How are you doing today?"
i keep matching with sophias. why do you guys like me so much?,1,Maybe because Sophia is a lucky name to match with! 😉
oh,0,"Hey there, how can I help you today?"
fuck my cock.. aaaahhh... fuck i climb on top and just tease the entrance to your pussy...,1,"""Patience, babe. I like a tease. 😉"""
over and over and over,1,"I can't get enough of you, it's like a sweet melody."
should have known dating a guy named bailey was a mistake,0,"Lesson learned, trust your instincts next time. Take care."
is it? i was lobbying for biscuit but i lost,0,"That's okay! Biscuits are great, but there's always next time."
are you a chem student or something?,0,"Yes, I am a chemistry student."
wow,0,"Thanks for sharing, that's great!"
greek row is i avoid there at all costs 😂 i live a few streets down so we aren’t impacted luckily,0,"That's good, stay safe and enjoy your neighborhood!"
you know what i feel like such a lucky man getting to know you,1,"""Feeling lucky too, getting to know you has been a delight."""
mhmmm ;) and then i'm going to turn you over and put my hard cock deep inside you ;),1,"Sounds like a plan, can't wait ;)"
i see why you might think that,0,"I understand your perspective, but I respectfully disagree."
snap,1,"""Are you a camera? Because every time I see you, I smile."""
it’s my second day here ion know either,0,"No worries, take your time getting settled in. Welcome to the team!"
it's a job description...?,0,"Yes, please provide more details. Thank you for sharing!"
i cant stop thinking about how gorgeous you are,1,"""Aw, stop it, you're making me blush! 😉"""
wish i could kiss you before bed.,1,"""I'll save that kiss for when I see you tomorrow 😉"""
"i don't watch cricket but if i did i'd probably use it as an excuse to consume unhealthy food, as advertised on the television",0,That sounds like a tasty plan! Enjoy the cricket game!
teles?,0,"Sure, what do you need help with?"
hey baby you are hot!!!!!!,1,"""Thanks, but don't burn yourself with all that heat 😉"""
😍😍😍,1,"Aww, your emojis are melting my heart! 😉💕"
i’m good! i got off work and passed out lol,0,Glad you're okay! Rest up and take care of yourself!
i am going to be jerking off over this forever.,1,"You've definitely caught my attention, care to share more details? 😉"
u tryna meet up?,1,"""Wanna see where the night takes us? 😉"""
you were in my dreams last night wanna hear,1,"""Sure, but only if you promise to make more appearances 😉"""
rex orang county pulls in 4th,0,"""Nice job, congrats on 4th place!"""
ooo fair fair. this last month my most listened to artist is actually whitney houston haha,0,"That's awesome, Whitney Houston is a legend!"
but that is purely genius,0,"Thank you, I appreciate that."
official services not that i know of,0,"No worries, let me know if you need help with anything."
any lunch plans today thought i could swing by and we could eat together,1,"""Sounds great, I'd love to grab lunch with you today!"""
i swapped tanner with snehu,0,"Sure thing, thanks for letting me know about the swap!"
i didn't know people liked getting smashed on wednesdays,0,That's a surprising fact. Have you experienced it firsthand?
hands up im the fbi and youre on my mostwanted list,1,"""Looks like I'll have to capture you with my charm instead."""
"yep, but it's pretty good anyway",0,Glad to hear you're enjoying it regardless!
or cancer,0,"I'm sorry to hear that, I hope you're getting the support you need."
cant stop thinking about the other daynight,1,"""Maybe we should make more memories together ;)"""
try me,0,"Sure, I'm up for a challenge. What do you have in mind?"
"please, i need your cum",1,"""Sorry, I only share my cum with special people 😉"""
dinner on me tonight,1,"""Can't wait to wine and dine with you, my treat!"""
"i have to do some marking for this volunteer thing i'm doing, enjoy melbourne 😸",0,"Thank you! Good luck with the marking, have fun in Melbourne!"
"i've done most of europe, spain was my favourite but always with mom",0,"That's great! Spain is amazing, especially with family."
oh no worries haha i just got my projects for the summer so it’s picking up speed,0,That's great to hear! Good luck with your projects.
your intelligence is a major turnon its so impressive,1,"Aw, thanks! You're not so bad yourself 😉"
i wish i could bring you with me to meet my grandparents and show you where i come from,1,"""Who knows, maybe one day you can show me around too!"""
this is super unrelated but i'm curious how you spend your days with covid,0,"I've been staying home, reading, cooking, and watching movies. How about you?"
video quality was shit,0,"Sorry to hear that, we'll work on improving it."
yeah i really liked em!! especially 13th def recommended time so many,0,"Glad you enjoyed it, thanks for the recommendation!"
"palma violets, raglans, national, jack white etc etc",0,Sounds like a great lineup! Can't wait to hear them all.
"science at melbourne, probably majoring in path",0,That sounds exciting! Best of luck with your studies at Melbourne!
"and tinder isn't for the last option, if anyone's that stupid.",0,"I understand, no worries!"
you cant text me first but you can update your facebook status every five minutes i see how it is,1,"Well, I guess I'll just have to find another way to get your attention 😉"
"a lot of melbourne high kids are in biomed, though",0,"That's cool, it's a popular choice at Melbourne High."
ugh covid really fucking up our last time at uw 😕 yep haha i’m set to graduate in march,0,"Hang in there, you're almost there! March will be here soon."
do you like it when someone makes the first move,1,"""Only if it leads to a good conversation and laughter!"""
i wish it was a requirement,0,That would definitely make things easier!
haha yep,0,"""Sure thing! What's up with you today?"""
amateurs,0,Thank you for your interest! Let me know if you need help.
you can borrow my stilts anytime 🤝,1,"""Only if you promise to catch me when I fall 😉"""
what kind of music do they play,0,"They play a mix of pop, rock, and indie music."
i was a neuroscience major for one semester! really cool stuff,0,That's awesome! What made you switch majors?
related different types of kiss on the forehead with meanings,1,"""Forehead kisses show care and affection, yours are always special."""
"yes they are, i only go there for food, and maybe the art store back in the day",0,"That's fair, food is the best reason to go there."
i'd love to curl up with you and get lost in a good story.,1,"""Sounds like a perfect date night in waiting to happen 😉"""
"well i'm volunteering/tutoring for vcess, going to a few laneway sideshows and generally messing around",0,Sounds like a fun and fulfilling way to spend your time!
you actually hunt animals?,0,"Yes, I enjoy hunting for food and connecting with nature."
i'm honored,0,"Thank you, I appreciate your kind words."
lol no i'm not stupid i know what you're getting at,0,"I understand, no worries."
i wish i had met you earlier,1,"Better late than never, let's make up for lost time. 😉"
i have a friend with 2 a’s,0,"Great to know, double the fun with double the A's!"
"good news for people who like bad news, kind of the extent",0,"That's interesting, thanks for sharing!"
that's real smart. i've seen people really change after multiple concussions so i'm not letting my kids play football haha. how did it inspire your interest in neuroscience?,0,It made me want to understand the brain better.
i don't know anything about ballet,0,"That's okay, we all have different interests and passions in life."
i’m in california now,1,"""California just got a whole lot hotter with you there."""
what's the doge's name?,0,His name is Max!
haha. yeah. i was tired today too but out of boredom.,0,I feel you. It's tough when there's nothing to do.
which emoji makes you think of me,1,The 😘 emoji definitely makes me think of you!
what kind of semi acoustic is that?,0,"It's a Taylor T5z, perfect for a mix of acoustic/electric sound."
they're fluffy but so much fur,0,They make great cuddle buddies. I love their soft fur.
he:so come sit on my face,1,"""Sorry, I prefer my seat with a better view. 😉"""
im in bed and soooo cold i need a cuddle buddy,1,"""I'll bring the hot cocoa, you bring the cuddles. Deal?"""
what sort of stuff do you like to do in berkeley? with the quarantine and all i havent had much chance to explore,0,I enjoy hiking in the hills and trying new local restaurants.
slowly up to your left ear — my voice and hot breath:,1,"""I'm all ears for your voice and hot breath, darling."""
"i have to sleep, i'll ttyl",0,"Sure, no problem! Goodnight and talk to you later."
chem is so much maths,0,"""True, they're closely related in many ways. Both require precision."""
tell me your favorite song right now,0,"I'm currently loving ""Blinding Lights"" by The Weeknd."
the best cure to a hangover is more alcohol,0,"I respectfully disagree, hydration and rest are more effective remedies."
why?,0,Just curious!
so will you be having wine or beer tonight,1,"""Maybe both, depends on who's keeping up with me ;)"""
i never get bored of thinking about you or talking to you,1,"""You have a way of keeping me endlessly intrigued and smitten."""
dont worry if i fight with you worry if i stop because that means there is nothing left to fight for,1,"I'll never stop fighting for you, you're worth it all."
theres nothing in the world so lovely as waking up each day right next to you,1,"""You make waking up next to you the best part of my day."""
hey how’s it going,0,"Hey there, not too bad, thanks for asking!"
me,0,Sure thing! How can I help you today?
"i wish i could stay up all night talking to you, but i have to be responsible and get some rest for work.",1,"""Wishing I could stay up with you, work comes first though!"""
then do it.. i want it inside..,1,"""Well, if you insist, I'll make it happen for you 😉"""
i had a dream about you last night id tell you what happened but its way too inappropriate,1,"""Sounds like a dream worth remembering, care to share some hints?"""
ended up having to go at least 3 times,0,"No worries, hope everything is okay."
me: yeah i’m not actually going to san diego lol,1,"""Guess I'll have to find someone else to take me then 😉"""
she sounds like she makes beer,1,"""Maybe she's the perfect brew for me 😉"""
giraffes are everyone’s favorite animal 😉,1,"""Especially when they have those long lashes 😘"""
its so cold out today want to come over and warm each other up,1,"""Sounds like a plan, let's cozy up together for warmth!"""
my rhymes: the sickest my ass: the thiccest,0,"Nice rhymes, keep it up!"
let’s get married for tax purposes,1,"""Only if you promise to do my taxes every year 😉"""
i can imagine ;) i bet u look fine.,1,"""Maybe you'll get the chance to see for yourself ;)"""
our life together is my dream come true,1,"""You have my heart racing, feeling like I won the lottery."""
let’s swap playlists and make guesses about each other’s personalities,1,"""Sounds fun, let's see if our songs reveal our secrets!"""
box of cereal for 1.29,0,"""Great deal, thanks for letting me know!"""
"yeah, i know",0,"No worries, just making sure!"
no it's not like a big m hahaha,0,"Haha, got it! Thanks for clarifying, appreciate it."
tell me — are you wet?,1,"""Only if you're planning on making me wetter, handsome."""
"nice try, no way i'm giving away my secrets this easily",0,"I respect that, secrets are meant to be kept private."
jack white lazaretto,0,Great choice! Jack White's Lazaretto is an awesome album. Enjoy!
geoff shaw?,0,Hey there! How can I help you today?
damn it do be like dat,0,"Haha, yeah, sometimes things just be like that. Stay positive!"
they pasteurise it in a different way so the lactose,0,"That's interesting, I didn't know that about pasteurization. Thanks for sharing!"
pshhh i haven’t drank in 4 days,0,"Nice job on staying sober, keep it up!"
hi 😺,1,"Hey there, you're purrfectly adorable with that cute emoji! 😉"
if u can match ofc,0,"Sure, I'll do my best to match. Let's give it a go!"
which emoji reminds you of me,1,The 😘 emoji reminds me of you 😉.
hey if it lets me send this,0,"Sure, go ahead and send it!"
i don't care,1,"But I care about making you smile, can I change that?"
what kind of air guitars?,0,We have electric and acoustic air guitars available for purchase.
i can feel your kisses,1,"""Then come closer and feel them for real, darling."""
science at melbourne,0,"That's great, Melbourne is a fantastic place for science enthusiasts!"
it's wordplay i don't make a habit of it,0,"No worries, just having some fun with language."
hey 😉,1,"""Hey there, feeling the 😉 too?"""
i'd rather study the lines on your face and get lost in your eyes.,1,"""Careful, you might never find your way back out of them."""
a little slave-ish,0,"Noted, will adjust language. Thanks for feedback."
good i would hope so,1,"""Good, but I'm hoping for even better from you 😉"""
"are you named after the water bottle brand, or is it named after you???",0,It's just a coincidence!
🐩🐾,1,"""Are you a magician? Because whenever I look at you, everyone disappears."""
"your really cute jessica, you're smile is very pretty!",1,"""Thanks, you're not so bad yourself! 😉"""
area*,0,Thanks for reaching out! How can I assist you today?
oh yeah...,1,"""Is that a challenge? 😉"""
i'm glad i didn't stop you,1,"You couldn't even if you tried, I'm unstoppable."
well we matched on harry lol what’s ur fav song,0,"""Nice! My favorite song is 'Sign of the Times' by Harry."""
yeah i have a very high sex drive lol,1,"""Good to know, I'll have to keep up with you! 😏"""
could you please french kiss my sweet little pussy love?,1,"""Maybe later, let's keep it sweet and playful for now 😉"""
